Team1,Team1_Score,Team2_Score,Team2,Year
Invictus Gaming,2,0,Vici Gaming,2020
Team Spirit,2,0,Invictus Gaming,2020
Team Secret,1,2,Team Spirit,2020
PSG.LGD,2,3,Team Spirit,2020
Invictus Gaming,2,1,Team Spirit,2021
Team Secret,2,0,OG,2021
Invictus Gaming,0,2,Team Secret,2021
PSG.LGD,2,1,T1,2021
Virtus.pro,2,1,Vici Gaming,2021
PSG.LGD,2,0,Virtus.pro,2021
Team Secret,0,2,PSG.LGD,2021
Team Undying,0,1,Fnatic,2021
Team Spirit,2,0,Fnatic,2021
Quincy Crew,1,0,Team Aster,2021
OG,2,0,Quincy Crew,2021
Team Spirit,2,0,OG,2021
Virtus.pro,1,2,Team Spirit,2021
beastcoast,0,1,Alliance,2021
T1,2,0,Alliance,2021
Evil Geniuses,1,0,Elephant,2021
Vici Gaming,2,1,Evil Geniuses,2021
T1,1,2,Vici Gaming,2021
Invictus Gaming,2,0,Vici Gaming,2021
Team Spirit,2,0,Invictus Gaming,2021
Team Secret,1,2,Team Spirit,2021
PSG.LGD,2,3,Team Spirit,2021
Evil Geniuses,0,2,Thunder Awaken,2022
Team Secret,2,0,PSG.LGD,2022
Thunder Awaken,0,2,Team Secret,2022
Tundra Esports,2,0,OG,2022
Team Liquid,0,2,Team Aster,2022
Tundra Esports,2,0,Team Aster,2022
Team Secret,1,2,Tundra Esports,2022
Hokori,0,1,beastcoast,2022
Evil Geniuses,0,2,beastcoast,2022
Team Spirit,0,1,BOOM Esports,2022
PSG.LGD,2,0,BOOM Esports,2022
beastcoast,1,2,PSG.LGD,2022
Team Aster,2,0,PSG.LGD,2022
Fnatic,0,1,Gaimin Gladiators,2022
OG,2,1,Gaimin Gladiators,2022
Royal Never Give Up,0,1,Entity,2022
Team Liquid,2,1,Entity,2022
OG,0,2,Team Liquid,2022
Thunder Awaken,1,2,Team Liquid,2022
Team Aster,1,2,Team Liquid,2022
Team Secret,2,1,Team Liquid,2022
Tundra Esports,3,0,Team Secret,2022
